expense_id,expense_type,amount,related_entity,date,receipt_available,cost_center,fiscal_period
ACC_b01af102,taxe_carbone,146.03,,2017-04-20,True,magasin,2021-Q4
ACC_0731008c,loyer,10.0,,2018-07-10,True,magasin,2025-Q2
ACC_5dafa32a,loyer,629.67,MAG_26450399,2015-10-03,True,logistique,2022-Q3
ACC_9657f565,taxe_carbone,10.0,ENT_38aef45c,2019-04-30,False,logistique,2024-Q2
ACC_6ea32dff,logistique,11.36,ENT_0321d867,2018-07-23,True,magasin,2017-Q3
ACC_22723b86,logistique,526.55,,2025-11-13,True,magasin,2015-Q1
ACC_38ad2e20,logistique,48.71,,2021-11-04,True,magasin,2015-Q3
ACC_2bcdf620,loyer,32.68,MAG_5e92a030,2018-04-22,False,entrepot,2016-Q1
ACC_968578e4,maintenance,19.07,ENT_762f95de,2021-12-20,True,magasin,2017-Q4
ACC_c84f143c,énergie,16.41,,2022-06-14,True,siège,2016-Q1
ACC_b7769994,loyer,58.27,,2021-02-16,True,logistique,2018-Q1
ACC_3898fbd4,logistique,74.12,,2024-12-06,False,siège,2025-Q2
ACC_1da3e52c,énergie,26.25,MAG_e8f604a4,2025-10-16,True,entrepot,2019-Q3
ACC_0e11608b,énergie,43.75,,2023-05-25,True,logistique,2018-Q1
ACC_faa81bab,maintenance,20.9,,2020-07-11,False,magasin,2021-Q1
ACC_2d00282f,investissement,36.46,ENT_b673f8c3,2024-04-03,True,siège,2021-Q3
ACC_28bab248,logistique,10.0,MAG_61716e87,2018-10-07,True,magasin,2022-Q1
ACC_58ef075f,logistique,21.98,ENT_591f5864,2019-11-08,True,logistique,2016-Q4
ACC_3220b817,maintenance,250.84,,2019-08-17,False,magasin,2023-Q4
ACC_ac87d112,loyer,1323.52,,2025-07-14,True,siège,2023-Q1
ACC_d77bfe0b,investissement,384.16,ENT_dda53be6,2025-11-16,False,Narnia,2019-Q1
ACC_7b2374af,investissement,10.0,,2022-10-25,False,magasin,2021-Q2
ACC_3b04b517,maintenance,10.0,,2021-07-27,True,entrepot,2020-Q1
ACC_61aac505,énergie,296.77,MAG_b3638da1,2017-02-18,True,siège,2022-Q1
ACC_b48806fc,maintenance,40.89,,2020-09-16,True,siège,2017-Q1
ACC_36d8fd1f,salaires,13.48,,2024-04-06,False,siège,2019-Q2
ACC_df5447ec,maintenance,394.07,,2019-06-06,True,extra,2015-Q4
ACC_2d281871,loyer,609.13,MAG_dffe0919,2015-02-24,True,magasin,2021-Q3
ACC_a47db590,logistique,159.49,MAG_ed21f39d,2017-11-03,True,siège,2017-Q3
ACC_2e51b517,loyer,9719.01,,2015-05-10,False,siège,2015-Q2
ACC_f90afa53,énergie,19.85,MAG_93765edd,2023-05-14,True,magasin,2024-Q2
ACC_762d4150,investissement,12.29,,2018-11-05,True,logistique,2020-Q4
ACC_c4a657dd,salaires,86.87,MAG_3d964680,2023-04-29,True,magasin,2016-Q4
BADID,énergie,-409.42,ENT_c5e9bd80,2016-06-22,True,magasin,
ACC_43cadb41,logistique,44.55,MAG_0ce0b42e,2024-03-06,True,logistique,2023-Q2
ACC_420f07ba,loyer,11.65,,2023-04-01,True,magasin,2018-Q2
ACC_bbf70fa1,maintenance,101.91,,2025-12-29,True,siège,2020-Q4
ACC_d5715cde,investissement,23.26,,2018-09-21,True,magasin,2022-Q1
ACC_8031722b,loyer,287.04,,2025-02-15,False,magasin,2016-Q2
ACC_ee3c5c0a,loyer,29.23,MAG_4ac0ceb3,2020-11-22,True,magasin,2017-Q1
BADID,inconnu,314.61,ENT_2e13b6b3,2016-05-20,True,magasin,2024-Q4
ACC_94a1827d,taxe_carbone,10.0,MAG_63d4b64a,2025-12-18,True,siège,2021-Q1
ACC_dfef2805,autre,48.44,ENT_61ca3f2e,2024-08-08,True,logistique,2023-Q1
ACC_303fdfb8,salaires,20.86,ENT_7861bfaa,2017-12-14,True,magasin,2017-Q2
ACC_19e3d5de,énergie,35.96,ENT_096095e7,2023-06-24,True,magasin,2019-Q2
BADID,maintenance,51.19,,2015-01-11,True,magasin,
ACC_34b64c22,énergie,10.0,,2016-05-15,True,magasin,2018-Q4
ACC_99e6ce65,investissement,10.74,,2020-07-17,True,magasin,2019-Q4
ACC_69bbc6ef,loyer,45.33,ENT_f65d93b5,2023-04-29,True,logistique,2017-Q2
ACC_ab7ec04c,salaires,1673.81,ENT_17b8de99,2020-03-23,True,magasin,2020-Q4
ACC_02d44970,salaires,53.77,,2017-11-28,True,siège,2020-Q2
ACC_aaff7d51,maintenance,10.0,,2015-11-17,True,entrepot,2021-Q4
ACC_d5c5af70,autre,20.51,,2023-05-27,True,logistique,2020-Q1
ACC_4141a206,loyer,10.0,MAG_84022bc8,2020-02-18,False,magasin,2019-Q3
ACC_7d43f562,maintenance,261.71,,2021-04-22,True,magasin,2022-Q2
ACC_2a227167,autre,10.0,,2022-06-06,True,magasin,2023-Q1
ACC_efda1628,logistique,61.05,ENT_f0d95b95,2016-08-09,True,logistique,2024-Q3
ACC_3b622a28,salaires,10.0,MAG_6672346b,2017-06-12,True,siège,2022-Q1
ACC_942912fb,salaires,10.0,MAG_f400a723,2020-01-14,True,magasin,2022-Q4
ACC_24db6607,énergie,18.03,,2020-10-20,True,siège,2025-Q2
ACC_2af59f9f,énergie,20.89,,2018-08-24,True,entrepot,2018-Q2
ACC_3efdf413,N/A,-79.65,MAG_8f58d7ec,2017-10-27,False,inconnu,2018-Q2
ACC_a8451e9c,salaires,132.27,,2024-04-03,True,entrepot,2021-Q1
ACC_7d5b677c,logistique,5617.92,MAG_04b6dd6b,2020-08-10,True,siège,2024-Q3
ACC_7ef0e311,logistique,10.0,,2020-02-21,True,siège,2020-Q4
ACC_b8f5cc4e,investissement,19.96,MAG_1c2cb37b,2015-04-14,True,magasin,2018-Q3
ACC_958b1ce9,loyer,81.34,,2021-09-24,True,magasin,2021-Q2
ACC_3ca4bd33,énergie,10.0,,2019-12-10,True,magasin,2023-Q3
ACC_9ac042ed,salaires,10.0,MAG_29c6bd1d,2023-05-19,True,entrepot,2024-Q4
ACC_ab50ba9a,logistique,64.29,,2024-02-15,True,entrepot,2021-Q3
ACC_0ee16837,loyer,143.82,,2018-02-27,True,inconnu,
ACC_135ca374,investissement,12.89,,2016-08-25,True,magasin,2016-Q1
BADID,N/A,10.0,ENT_77ac0da5,2023-09-04,True,magasin,
ACC_d9c65ed7,logistique,-115.21,MAG_5b72fb56,2015-05-01,True,magasin,2019-Q4
ACC_cc44e4a5,loyer,16.24,,2016-06-18,True,entrepot,
ACC_d7f09879,autre,22.48,,2023-09-29,False,logistique,2024-Q1
ACC_a5b3ee0a,loyer,1119.77,,2015-04-14,False,siège,2015-Q4
ACC_0078aa61,salaires,180.9,,2016-12-22,True,magasin,2024-Q3
ACC_df0a144a,investissement,49.7,,2015-06-29,True,magasin,2022-Q3
ACC_dd99cefb,maintenance,15.47,,2025-07-07,True,magasin,2015-Q2
ACC_82a55402,énergie,1258.1,ENT_f19dcb5d,2020-04-23,True,logistique,2017-Q2
ACC_70a4bf4c,loyer,128.16,MAG_57b6321f,2024-09-10,True,magasin,2020-Q1
ACC_f01621e4,salaires,46.54,MAG_6518d867,2016-10-16,False,magasin,2022-Q1
ACC_f4c63087,salaires,97.23,ENT_77f6330f,2024-09-09,True,entrepot,2020-Q3
ACC_ebf68d98,salaires,29.75,MAG_101be82e,2016-11-23,False,magasin,2025-Q3
ACC_85fc2311,énergie,838.95,,2016-12-24,True,logistique,2016-Q3
ACC_7cbdad4f,loyer,217.4,,2015-08-23,True,logistique,2018-Q3
ACC_7188921f,investissement,38.29,ENT_8191fb7a,2021-04-23,True,magasin,2019-Q4
ACC_fc7e36ad,salaires,10.23,,2016-03-16,True,entrepot,2022-Q3
ACC_7847d859,logistique,1263.22,MAG_d71a14c3,2024-12-30,True,magasin,2015-Q1
ACC_8d374159,énergie,10.0,MAG_6f02112d,2022-10-15,False,siège,2025-Q1
ACC_50f6b85a,loyer,134.12,ENT_5834f64c,2019-06-07,True,logistique,2020-Q4
ACC_93ee6789,loyer,70.65,,2025-07-11,True,magasin,2025-Q3
ACC_61e7176c,autre,782.47,ENT_e8fd3028,2018-10-21,True,magasin,2018-Q3
ACC_2239d14c,maintenance,10.0,ENT_ebc8bd1a,2016-05-07,True,magasin,2020-Q1
ACC_2f366f2b,salaires,26.37,,2023-05-15,False,entrepot,2024-Q4
ACC_c13e8822,autre,10.0,,2024-10-29,True,siège,2019-Q1
ACC_9a1beff1,salaires,10.0,,2025-02-26,True,magasin,2023-Q1
ACC_ec605b27,salaires,121.33,ENT_42771f28,2021-01-02,True,magasin,2022-Q1
ACC_fa415fb2,taxe_carbone,34.47,MAG_e04952cd,2025-04-12,False,siège,2017-Q1
ACC_5e661fa2,loyer,306.17,ENT_9f1edc44,2018-04-03,True,siège,2024-Q4
ACC_713c83a8,investissement,280.01,,2025-05-08,False,logistique,2020-Q4
ACC_f21f89ea,extra,1323.62,ENT_45522d30,2022-08-13,True,logistique,
ACC_ef2397a3,inconnu,176.99,,2025-01-14,True,Narnia,
ACC_d1c919c3,maintenance,48.77,,2025-09-18,True,magasin,2017-Q2
ACC_61567aed,loyer,58.17,,2019-03-26,False,siège,2020-Q2
ACC_de3d1cc4,loyer,59.76,,2015-10-07,False,siège,2015-Q2
BADID,taxe_carbone,-324.97,ENT_fff04ca1,2024-09-19,True,magasin,2015-Q3
ACC_4d218919,salaires,-111.9,MAG_eb8a1502,2022-11-16,True,magasin,2021-Q2
ACC_a6d3c046,loyer,84.73,MAG_a9ab28a5,2023-12-28,True,entrepot,2024-Q2
ACC_161a6e5f,maintenance,107.96,ENT_ab7d42d8,2018-01-29,True,siège,2025-Q3
ACC_830971d8,loyer,216.72,MAG_06f15fa7,2023-07-19,False,entrepot,2023-Q2
ACC_728ea2fe,logistique,10.0,ENT_c89b51cc,2023-06-26,True,entrepot,2022-Q1
ACC_8a4750eb,investissement,10.0,MAG_f748c8b4,2025-07-15,True,magasin,2019-Q1
ACC_c45c7673,loyer,49.87,,2018-09-18,True,siège,2016-Q4
ACC_ca159668,taxe_carbone,15.58,,2021-07-01,True,magasin,2021-Q1
ACC_b2d14c31,loyer,10.0,ENT_a0482ec3,2022-10-31,True,magasin,2015-Q2
ACC_cfffd139,énergie,108.44,ENT_e27e61c8,2020-05-19,True,magasin,2018-Q4
ACC_2f24b480,investissement,190.22,MAG_a6465852,2019-08-25,False,magasin,2019-Q2
ACC_22c4fa67,autre,108.48,,2021-05-29,True,entrepot,2019-Q1
ACC_b66a5ed1,énergie,12.77,,2023-10-29,True,entrepot,2016-Q4
ACC_f5a3bd66,maintenance,10.0,ENT_d8504894,2016-09-02,True,magasin,2022-Q2
ACC_e190fc97,salaires,66.31,ENT_35f62f7e,2019-03-07,True,entrepot,2015-Q3
ACC_cb9a8126,énergie,39.23,ENT_b408d791,2015-12-07,False,magasin,2025-Q4
ACC_1d8c293d,logistique,76.15,,2018-12-23,True,magasin,2018-Q3
ACC_476e11d4,salaires,600.92,ENT_abe8f31c,2025-07-12,True,magasin,2019-Q4
ACC_a028d134,salaires,28.31,ENT_6ec69164,2021-06-12,True,entrepot,2023-Q3
ACC_af402679,investissement,158.76,MAG_49875b69,2024-05-28,True,siège,2016-Q2
ACC_6865ce79,inconnu,71.52,MAG_1965e205,2016-02-16,True,magasin,
ACC_ba317ebf,loyer,651.38,,2020-09-12,False,entrepot,2023-Q1
ACC_fbebbd2e,salaires,108.63,,2015-01-15,True,entrepot,2023-Q1
BADID,autre,-248.83,ENT_ff33995f,2023-07-28,False,entrepot,
ACC_6c35bd23,salaires,251.59,MAG_ad390ac0,2025-04-14,True,entrepot,2025-Q3
ACC_d4e541a0,salaires,88.75,,2017-07-14,True,magasin,2019-Q2
ACC_46f4bb27,maintenance,10.0,ENT_cff6acae,2024-01-04,True,magasin,2024-Q3
ACC_af8acaa5,investissement,22.04,ENT_4b1a2072,2020-01-20,True,magasin,2018-Q3
ACC_cb201a6e,salaires,328.5,ENT_a5b9a8ea,2024-02-05,True,magasin,2022-Q1
ACC_142a60de,investissement,28.63,ENT_96352769,2025-07-16,True,siège,2023-Q1
ACC_d1a25bf9,investissement,10.0,,2023-12-18,True,logistique,2023-Q1
ACC_2b9d5680,loyer,556.25,MAG_a0618281,2023-08-13,True,entrepot,2020-Q3
ACC_e4536804,autre,71.31,MAG_6d33a9f3,2020-12-20,False,logistique,2025-Q4
ACC_d16ba563,loyer,573.35,,2016-01-25,False,entrepot,2018-Q2
ACC_0a0eb170,investissement,11.24,,2021-05-12,True,magasin,2015-Q2
ACC_29d83533,énergie,10.0,MAG_9120847d,2025-12-23,True,logistique,2021-Q3
ACC_6abd78dc,loyer,618.79,,2016-09-14,True,siège,2025-Q2
ACC_87880f08,salaires,11.26,,2024-02-27,True,entrepot,2015-Q4
ACC_b4995c9d,énergie,572.2,,2025-06-05,True,siège,2024-Q2
ACC_c6499115,salaires,52.22,,2023-05-08,True,entrepot,2025-Q1
ACC_12e68e62,logistique,67.51,ENT_fed7da89,2025-11-12,False,magasin,2023-Q2
ACC_a19bfc61,taxe_carbone,10.0,ENT_043e2bec,2018-03-04,False,magasin,2022-Q2
ACC_b7cbf21a,salaires,255.24,,2019-05-06,True,magasin,2021-Q4
ACC_abfc188f,maintenance,285.13,ENT_46f51115,2018-06-06,True,magasin,2015-Q3
ACC_a8c9f2c4,logistique,90.67,ENT_b048bea0,2017-11-03,False,logistique,2024-Q2
ACC_648d27c7,autre,21.28,ENT_7bb49f54,2024-02-16,True,magasin,2019-Q3
ACC_e6c33591,énergie,66.08,,2020-05-16,True,siège,2016-Q2
ACC_5b825ff4,Narnia,10.0,,2024-08-23,True,N/A,
ACC_250ac75a,investissement,11.63,MAG_58fd84e7,2021-05-03,True,entrepot,2015-Q2
ACC_2160f578,salaires,140.49,,2024-11-14,True,entrepot,2025-Q2
ACC_c4ed48ff,loyer,28.79,,2025-05-14,False,siège,2019-Q4
ACC_236f8dd4,salaires,238.19,,2015-02-18,True,magasin,2023-Q3
ACC_532a081c,maintenance,10.0,,2019-09-09,True,magasin,2024-Q3
ACC_62edffb6,énergie,10.0,MAG_06698d8a,2025-10-10,True,entrepot,2025-Q3
ACC_f33a686f,maintenance,33.8,ENT_ed52b3bd,2019-04-02,True,siège,2022-Q1
ACC_c6420240,logistique,398.98,MAG_79e626fd,2021-01-23,True,magasin,2020-Q1
ACC_eac977f1,loyer,323.71,ENT_ab3b8d32,2020-10-17,True,logistique,
ACC_250d8f27,énergie,10.0,ENT_146aa705,2023-11-02,True,magasin,2017-Q4
ACC_e4c52744,salaires,10.0,,2019-10-29,False,logistique,2017-Q3
ACC_fe864726,loyer,90.49,ENT_cdac1dad,2024-02-25,True,magasin,2020-Q1
BADID,énergie,26.16,MAG_7fe192ae,2024-10-30,True,N/A,2022-Q2
ACC_241f9b2f,logistique,35.84,ENT_e5340edb,2021-12-05,True,siège,2015-Q2
ACC_07b72809,loyer,11.73,ENT_fd889606,2021-01-03,True,logistique,2025-Q1
ACC_3f2d353c,loyer,303.52,ENT_2d75d194,2024-11-08,True,siège,2016-Q2
ACC_4f1b4323,maintenance,10.0,MAG_b9592761,2020-07-22,False,entrepot,2015-Q4
ACC_0c5f6875,salaires,164.89,MAG_cdc2cf4b,2021-05-30,True,entrepot,
ACC_54134f2d,logistique,124.15,MAG_2bcc8bca,2022-11-20,False,entrepot,2016-Q1
ACC_813dc5e5,énergie,32.59,ENT_22ea4709,2018-10-25,True,logistique,2021-Q2
BADID,loyer,10.0,,2022-04-15,True,magasin,
ACC_d365454f,maintenance,586.25,ENT_12dd2932,2025-08-15,True,magasin,2023-Q2
ACC_22c04d59,loyer,1308.13,,2017-08-10,True,magasin,2021-Q1
ACC_9292e986,salaires,39.43,MAG_5e395d3d,2018-10-15,False,magasin,2021-Q1
ACC_ad3ca03f,logistique,37.98,,2019-03-04,True,siège,2015-Q2
ACC_e2b60456,maintenance,10.0,,2025-06-19,True,magasin,2025-Q2
ACC_ef799c31,loyer,109.73,MAG_7079725a,2022-11-29,True,siège,2016-Q2
ACC_3e9fbdbd,salaires,155.27,MAG_52ea4bf3,2020-04-18,True,logistique,2022-Q2
ACC_640fbba2,énergie,21.78,,2025-09-09,True,magasin,2023-Q3
BADID,investissement,-116.62,MAG_d3f7174c,2025-09-14,True,extra,2017-Q1
ACC_183f821b,logistique,10.0,,2016-08-21,True,magasin,2017-Q1
ACC_e44242e5,salaires,23.22,,2020-12-27,False,siège,2021-Q4
ACC_a7cea4a5,inconnu,10.0,,2015-11-20,True,extra,2017-Q2
ACC_454d8ed4,salaires,144.86,MAG_5e2ba5db,2019-10-02,True,entrepot,2025-Q4
ACC_4ccf01c3,énergie,253.72,MAG_1f1408d4,2015-03-11,True,magasin,2016-Q1
ACC_7ee1b7a2,maintenance,365.72,ENT_efd59cab,2015-05-26,True,magasin,
ACC_dfb9f686,inconnu,12.95,,2020-09-05,True,entrepot,2015-Q4
ACC_e73cfa5d,loyer,189.89,,2015-07-08,True,entrepot,2025-Q1
ACC_2b665e65,logistique,10.0,,2023-02-02,True,magasin,2022-Q1
ACC_6d080cbf,salaires,10.0,,2018-03-01,True,magasin,2023-Q3
ACC_54b469d2,taxe_carbone,10.0,,2018-04-17,True,entrepot,2025-Q1
BADID,Narnia,-113.91,,2025-02-16,True,entrepot,2017-Q1
ACC_782b80ac,loyer,15.1,,2018-06-15,True,magasin,2024-Q4
ACC_3c570ed3,énergie,10.0,,2015-12-04,False,logistique,2019-Q3
ACC_a98047d0,investissement,668.32,ENT_0a05ee9b,2024-08-20,True,entrepot,2021-Q4
ACC_34de9e8f,autre,23.33,MAG_b5910a43,2022-07-05,True,entrepot,2017-Q1
ACC_44845d0f,inconnu,11.76,ENT_68267252,2018-05-21,False,logistique,2015-Q3
BADID,logistique,-47.78,,2025-08-27,False,magasin,2019-Q4
ACC_a9991ddc,salaires,12.02,ENT_f49a0187,2025-01-22,False,magasin,2019-Q1
ACC_9aec80bb,loyer,76.32,MAG_076261dc,2020-06-02,True,siège,2016-Q1
ACC_e77afe29,investissement,163.69,MAG_4a3963b1,2015-04-13,True,entrepot,2022-Q1
ACC_0497ca88,salaires,146.84,,2020-09-12,True,entrepot,2015-Q3
ACC_9d55cfad,salaires,78.81,,2018-07-22,True,magasin,2015-Q2
ACC_f543b53d,logistique,94.7,,2015-01-24,True,siège,2016-Q4
ACC_fd2ee12e,salaires,682.7,ENT_243b519c,2024-04-21,True,magasin,2023-Q4
BADID,taxe_carbone,1773.02,MAG_bdb447e6,2020-09-11,False,N/A,2024-Q2
ACC_52303743,loyer,10.0,,2025-10-14,True,magasin,2016-Q1
ACC_927af6e6,salaires,31.77,MAG_23060c1d,2019-12-08,False,entrepot,2024-Q2
ACC_5aa31005,énergie,10.41,ENT_7927852a,2019-06-02,False,magasin,2020-Q4
ACC_7372e63a,investissement,10.0,,2020-12-11,True,logistique,2022-Q2
BADID,loyer,82.83,ENT_b9e5c986,2024-06-15,True,magasin,2015-Q3
ACC_b94b7d15,énergie,10.12,ENT_61e190d8,2019-11-28,True,entrepot,2024-Q3
ACC_7b606c5a,salaires,89.18,ENT_b3c232dc,2020-10-23,True,siège,2017-Q2
ACC_7d9fbb66,salaires,434.47,MAG_b939daa9,2022-04-27,False,siège,2019-Q3
ACC_a92cb55e,salaires,41.83,,2017-05-18,True,magasin,2016-Q3
ACC_345b6ffd,loyer,31.05,,2017-08-24,True,magasin,2016-Q1
ACC_4f99b539,maintenance,399.49,ENT_13d3886b,2022-06-09,True,logistique,2021-Q1
ACC_b92fb0d0,énergie,566.15,ENT_baddc57b,2023-12-13,True,magasin,2025-Q2
ACC_30ca2177,salaires,123.51,,2018-03-23,False,extra,2021-Q1
ACC_ecb0de8d,salaires,401.72,MAG_4916b43e,2015-08-17,True,entrepot,2016-Q3
ACC_7832883a,logistique,11.26,MAG_684414c7,2019-06-02,True,magasin,2016-Q4
ACC_9c0f3fbb,salaires,63.1,,2019-09-30,True,entrepot,2015-Q2
ACC_b4696fff,salaires,33.79,,2017-04-30,True,entrepot,2024-Q2
ACC_525e1399,logistique,29.76,ENT_801b8070,2024-01-26,True,magasin,2015-Q3
ACC_e9d8bb1c,salaires,367.2,,2021-07-14,False,logistique,2025-Q4
ACC_dd3fbda9,salaires,22.77,,2017-04-14,False,logistique,2019-Q2
ACC_8bcc5e48,énergie,2537.24,MAG_0e9ce05f,2021-07-13,True,magasin,2021-Q2
ACC_7983f463,logistique,10.0,,2016-05-12,True,logistique,2015-Q4
ACC_14674804,loyer,10.0,ENT_9ca3704f,2017-12-07,True,magasin,2025-Q3
BADID,salaires,10.0,ENT_bdad1b45,2021-11-15,True,magasin,2018-Q2
ACC_859b3bc1,investissement,296.85,MAG_ede1f333,2023-05-25,True,magasin,2022-Q1
ACC_122d91a8,énergie,108.3,MAG_d6b75b06,2019-05-19,False,siège,2025-Q4
ACC_5b9f55a6,logistique,32.14,ENT_fd072d6b,2018-12-13,True,magasin,2017-Q3
ACC_5a8fcb80,maintenance,871.51,,2023-05-21,True,magasin,2025-Q2
ACC_1c5f5f78,salaires,48.76,,2024-12-14,True,entrepot,2019-Q4
ACC_50efd27c,énergie,135.15,MAG_0784c9e4,2023-06-06,True,siège,2016-Q4
ACC_de4cbf6a,salaires,13.81,ENT_5fbe800e,2025-06-08,True,logistique,2022-Q4
ACC_0ab319c1,Narnia,67.2,ENT_c4529fa1,2020-07-23,True,logistique,
ACC_7f24985a,énergie,15.65,,2022-10-10,True,entrepot,2020-Q2
ACC_75fbce16,maintenance,108.25,,2023-12-29,False,entrepot,2020-Q3
ACC_840df7be,investissement,22.64,ENT_b80a5577,2023-04-25,True,magasin,2021-Q2
ACC_bfeb891d,loyer,90.19,MAG_a13287a9,2015-08-05,True,logistique,2024-Q1
ACC_a73ac99e,maintenance,62.12,,2020-09-30,True,siège,2015-Q2
ACC_8d9ce2fe,Narnia,10.0,ENT_bdd6d2e8,2020-02-08,False,magasin,2023-Q2
ACC_5470f276,salaires,37.56,MAG_fea5a09e,2015-10-07,True,logistique,2015-Q2
ACC_c838822f,salaires,10.0,ENT_c5131455,2023-10-27,True,siège,2023-Q1
ACC_b9c659a2,maintenance,150.72,MAG_6741b2fe,2019-01-06,True,siège,2021-Q4
ACC_991055b8,énergie,10.31,MAG_daa79608,2020-12-13,True,entrepot,2023-Q4
BADID,salaires,164.57,,2023-07-21,True,entrepot,
BADID,loyer,70.52,,2015-03-29,False,siège,2020-Q2
ACC_b49979a1,énergie,10.0,,2020-01-06,True,siège,2022-Q3
ACC_395806de,maintenance,69.81,ENT_04b97c3c,2019-09-15,True,siège,2016-Q3
ACC_32adec8f,loyer,16.27,ENT_ef334ebc,2016-10-14,True,magasin,2018-Q2
ACC_48ab3743,loyer,10.0,,2019-06-04,True,entrepot,2022-Q2
ACC_3ff082a4,énergie,41.69,MAG_5c1c6b68,2020-10-11,False,magasin,2023-Q2
ACC_eddfbce5,loyer,-333.0,ENT_0da233a5,2015-10-09,True,Narnia,2017-Q1
ACC_2178c124,énergie,24.93,,2018-11-30,True,magasin,2018-Q4
ACC_54e09991,énergie,62.15,,2017-02-01,False,siège,2021-Q1
ACC_1a7d962d,loyer,149.7,ENT_ea02d6e4,2022-12-02,True,siège,2020-Q4
ACC_f2f5a170,logistique,10.0,ENT_d3c59430,2020-01-14,True,entrepot,2015-Q1
ACC_00057fc1,salaires,431.18,MAG_27b01e92,2016-06-26,True,magasin,2016-Q4
ACC_61de93de,salaires,52.56,,2023-02-13,True,siège,2019-Q4
ACC_374f3b94,loyer,10.25,,2016-04-08,True,siège,2020-Q1
ACC_2ee8acff,loyer,93.17,MAG_33e02162,2019-11-09,True,entrepot,2023-Q4
ACC_2ae26457,autre,46.51,MAG_6a1de055,2018-02-07,True,magasin,2018-Q4
ACC_1ffcc63d,loyer,43.71,,2016-06-29,True,entrepot,2016-Q3
ACC_1f1809a1,salaires,11.65,,2017-06-12,True,entrepot,2025-Q4
ACC_a2df4bdb,salaires,705.68,ENT_ae97f902,2018-12-09,True,entrepot,2022-Q4
ACC_e51a166b,investissement,10.0,,2018-05-05,True,siège,2017-Q1
ACC_c3e2a703,logistique,25.51,,2018-11-18,True,siège,2025-Q2
ACC_990d0a9c,taxe_carbone,471.92,,2022-04-25,False,magasin,2015-Q2
ACC_0892f46f,loyer,10.0,,2017-09-23,True,N/A,
BADID,salaires,253.37,MAG_c66dc992,2022-07-12,True,entrepot,2024-Q2
ACC_b323f4ca,loyer,594.6,,2018-05-06,True,magasin,2020-Q2
ACC_cebc6e90,maintenance,10.0,MAG_416975f3,2023-08-30,True,magasin,2017-Q1
ACC_85ebf122,loyer,27.51,MAG_4bfdb28c,2021-04-05,True,entrepot,2018-Q3
ACC_8ccec6d0,loyer,10.0,,2024-03-20,True,magasin,2025-Q3
ACC_c540091d,énergie,53.27,,2024-04-17,True,magasin,2017-Q2
ACC_262a9df4,investissement,2882.1,,2025-05-09,False,siège,2020-Q2
ACC_dd15e911,salaires,549.01,,2020-02-21,False,magasin,2021-Q3
