product_id,product_name,category,sub_category,is_fragile,volume_l,weight_kg,selling_price,purchase_cost,margin_rate,storage_cost,launch_date,expiry_date,is_new_product,supplier_id,manufacturing_origin,co2_per_kg,calculated_margin_rate,product_margin_eur,product_lifecycle_days,invalid_price_flag,high_co2_flag
PROD_d17ab24e,L'art de rouler plus facilement,Vêtements,Femme,False,1.92,1.27,194.16,136.73,0.2958,1.54,2020-02-08,2021-08-14,False,SUPP_0008410b,Italie,6.34,0.29578697981046564,57.43000000000001,553.0,0,1
PROD_50134e0d,Le pouvoir d'avancer de manière sûre,Maison,Décoration,False,3.16,0.36,4.88,3.2,0.3446,0.48,2025-01-01,2029-03-01,False,SUPP_cb8fdaf0,Italie,2.11,0.34426229508196715,1.6799999999999997,1520.0,0,0
PROD_949b9899,L'avantage d'avancer à sa source,Vêtements,Homme,False,16.24,0.4,19.74,9.05,0.5414,2.44,2021-05-28,2030-10-18,False,SUPP_95cc6dd5,Turquie,6.0,0.5415400202634244,10.689999999999998,3430.0,0,1
PROD_c45630d4,La possibilité d'atteindre vos buts de manière efficace,Hygiène,Soins cheveux,False,3.74,0.59,17.47,10.32,0.4093,0.1,2017-03-27,2025-10-28,False,SUPP_6d7f2801,Turquie,7.32,0.4092730394962793,7.149999999999999,3137.0,0,1
PROD_33eac6db,Le confort d'innover à sa source,Électronique,Accessoires,True,0.57,1.19,56.15,35.98,0.3593,2.29,2018-12-02,2024-11-05,False,SUPP_f9cfd081,France,4.16,0.3592163846838825,20.17,2165.0,0,0
PROD_c9f894e9,L'avantage de louer naturellement,Électronique,Smartphones,True,1.02,4.95,45.65,31.61,0.3075,0.1,2016-02-09,2021-04-12,False,SUPP_UNKNOWN,Allemagne,3.46,0.30755750273822563,14.04,1889.0,0,0
PROD_c33ce883,Le confort de rouler naturellement,Électronique,Ordinateurs,True,7.54,1.0,525.83,387.64,0.2628,0.1,2021-02-03,2022-07-12,False,SUPP_417079df,Allemagne,5.78,0.2628035676929807,138.19000000000005,524.0,0,0
PROD_b3df84cc,Le pouvoir d'atteindre vos buts plus rapidement,Vêtements,Homme,False,1.39,0.42,40.86,21.11,0.4833,3.42,2017-10-07,2021-08-03,False,SUPP_e4e80e11,Italie,2.34,0.4833578071463534,19.75,1396.0,0,0
PROD_0e09620d,La possibilité d'avancer sans soucis,Vêtements,Femme,False,0.42,0.97,32.6,14.26,0.5626,0.1,2022-08-04,2027-05-07,False,BADID,États-Unis,2.25,0.5625766871165645,18.340000000000003,1737.0,0,0
PROD_6e629f71,Le plaisir de rouler de manière efficace,Hygiène,Cosmétiques,True,2.21,8.62,7.63,5.07,0.3349,3.0,2022-01-29,2027-03-07,False,SUPP_2aab34f7,France,0.1,0.3355176933158584,2.5599999999999996,1863.0,0,0
PROD_f756d309,L'assurance d'atteindre vos buts à l'état pur,Vêtements,Sport,False,0.94,2.74,43.91,23.26,0.4702,0.1,2024-05-18,2030-12-31,False,SUPP_4b8dd79f,Inde,0.45,0.4702801184240491,20.649999999999995,2418.0,0,0
PROD_26c545db,L'art de concrétiser vos projets à l'état pur,Hygiène,Soins cheveux,False,6.31,1.21,10.45,6.93,0.3368,2.03,2015-11-14,2020-01-27,False,SUPP_b6cb477d,Allemagne,2.02,0.3368421052631579,3.5199999999999996,1535.0,0,0
PROD_fcd14ee4,La possibilité de rouler en toute tranquilité,Vêtements,Femme,False,3.88,0.38,64.58,24.9,0.6144,2.93,2019-12-22,2027-04-16,False,SUPP_489306c6,États-Unis,0.53,0.6144317126045216,39.68,2672.0,0,0
PROD_d69f6288,L'avantage de louer plus rapidement,Maison,Cuisine,True,3.75,0.75,26.49,16.1,0.3922,1.63,2022-04-30,2024-08-06,False,SUPP_bfabc06c,Turquie,2.07,0.3922234805587013,10.389999999999997,829.0,0,0
PROD_c59a821b,L'art de changer à sa source,Alimentation,Surgelés,False,3.27,1.55,1.6,1.21,0.2414,3.8,2020-05-04,2027-11-12,False,SUPP_0e85e0f9,Italie,4.2,0.24375000000000008,0.3900000000000001,2748.0,0,0
PROD_b0b0707a,Le droit de changer naturellement,Hygiène,Soins corps,False,3.19,1.03,24.775,3.09,0.4142,4.32,2020-07-30,2025-04-23,False,SUPP_UNKNOWN,Allemagne,3.55,,21.685,1728.0,0,0
PROD_5177cabb,L'art d'atteindre vos buts plus rapidement,Hygiène,Soins cheveux,False,8.68,10.51,11.88,7.57,0.3629,1.36,2022-09-01,2029-04-30,False,SUPP_8bb9015b,Chine,2.75,0.36279461279461284,4.3100000000000005,2433.0,0,0
PROD_3a018a4d,L'assurance de rouler de manière sûre,Vêtements,Enfant,False,0.62,2.63,71.19,15.24,0.2649,4.68,2019-10-10,,False,SUPP_73e3df9b,Espagne,1.94,,55.949999999999996,,0,0
PROD_d98ea93d,,Vêtements,Homme,False,1.23,1.95,16.93,15.24,0.3909,0.75,2022-06-18,,False,SUPP_a2172c98,États-Unis,3.0,,1.6899999999999995,,0,0
PROD_056187df,Le plaisir d'innover à l'état pur,Alimentation,Épicerie,True,0.92,2.12,2.58,2.05,0.2067,0.31,2016-05-20,2025-04-11,False,SUPP_3493478b,Allemagne,5.02,0.20542635658914737,0.5300000000000002,3248.0,0,0
PROD_362e04e9,L'avantage d'avancer à sa source,Électronique,Accessoires,True,3.72,0.1,209.03,179.51,0.1412,0.24,2022-03-14,2026-05-13,False,SUPP_db3b3a27,Turquie,5.07,0.141223747787399,29.52000000000001,1521.0,0,0
PROD_7beee23c,La possibilité de concrétiser vos projets naturellement,Hygiène,Soins corps,False,0.96,8.78,20.0,12.69,0.3657,1.14,2024-04-02,2027-02-27,False,SUPP_9fef98d7,Chine,6.01,0.36550000000000005,7.3100000000000005,1061.0,0,1
PROD_4b7d8316,La possibilité de changer plus facilement,Vêtements,Femme,False,1.02,0.14,15.76,8.47,0.4623,0.82,2019-06-27,2025-06-24,False,SUPP_969212a0,Inde,7.78,0.4625634517766497,7.289999999999999,2189.0,0,1
PROD_61b75c98,Le confort d'atteindre vos buts en toute tranquilité,Alimentation,Boissons,True,0.86,0.64,3.36,2.58,0.2329,1.58,2016-12-21,2025-02-06,False,SUPP_4575d5bd,Allemagne,4.63,0.2321428571428571,0.7799999999999998,2969.0,0,0
PROD_642e270d,L'assurance d'évoluer à l'état pur,Électronique,Accessoires,True,5.23,2.09,122.55,91.42,0.254,0.1,2015-02-12,2018-04-25,False,SUPP_9d355b98,États-Unis,0.1,0.25401876784985716,31.129999999999995,1168.0,0,0
PROD_69b16fac,La liberté de changer de manière efficace,Hygiène,Cosmétiques,True,1.77,21.44,8.19,4.24,0.482,2.79,2025-04-27,2029-09-11,False,SUPP_9e5a9157,Portugal,3.07,0.48229548229548225,3.9499999999999993,1598.0,0,0
PROD_c10bd76a,Le plaisir d'innover à l'état pur,Électronique,Smartphones,True,1.29,0.81,57.47,34.57,0.3984,3.29,2016-11-28,2023-04-27,False,SUPP_f74f2022,Chine,2.15,0.3984687663128589,22.9,2341.0,0,0
PROD_6cd9c5f1,,Hygiène,Soins cheveux,False,1.06,0.67,24.54,13.0,0.4703,4.21,2022-08-24,2028-05-25,False,SUPP_4f0067f7,Inde,1.38,0.4702526487367563,11.54,2101.0,0,0
PROD_c9d007c4,La liberté de louer avant-tout,Vêtements,Homme,False,0.89,9.83,95.5,61.99,0.3509,0.66,2025-11-17,2027-09-23,True,SUPP_737bb68f,Allemagne,3.51,0.35089005235602094,33.51,675.0,0,0
PROD_ffdac5af,Le plaisir d'innover à la pointe,Maison,Décoration,True,5.71,0.46,48.76,25.45,0.478,1.7,2023-07-15,2030-12-31,False,SUPP_1b61686e,Italie,2.85,0.4780557834290402,23.31,2726.0,0,0
PROD_d3a95018,Le confort d'évoluer plus facilement,Vêtements,Femme,False,6.83,0.82,91.32,51.6,0.435,0.37,2019-02-15,2026-02-13,False,SUPP_0359c859,France,4.11,0.4349540078843626,39.71999999999999,2555.0,0,0
PROD_71a06d12,L'art de rouler autrement,Maison,Mobilier,True,0.89,0.33,318.86,185.67,0.4177,1.52,2018-07-07,2024-01-22,False,SUPP_fff2aa2f,Espagne,2.4,0.4177068305839554,133.19000000000003,2025.0,0,0
PROD_54a5528d,L'avantage d'évoluer à la pointe,Électronique,Accessoires,True,7.62,9.26,52.2,32.82,0.3712,1.45,2025-05-11,2030-12-31,False,SUPP_27a3acec,États-Unis,4.54,0.37126436781609196,19.380000000000003,2060.0,0,0
PROD_fde3f836,La liberté de concrétiser vos projets de manière efficace,Électronique,Accessoires,True,1.16,0.13,32.09,18.19,0.4333,0.92,2021-05-08,2024-10-30,False,SUPP_fe63581b,Italie,4.57,0.4331567466500468,13.900000000000002,1271.0,0,0
PROD_c4e9f6a1,Le pouvoir de rouler de manière sûre,Alimentation,Surgelés,False,2.39,0.57,6.53,5.6,0.1425,1.43,2017-12-01,2022-02-23,False,BADID,Italie,0.1,0.14241960183767238,0.9300000000000006,1545.0,0,0
PROD_7bfaec97,L'avantage d'atteindre vos buts à sa source,Vêtements,Enfant,False,1.47,0.67,35.21,17.51,0.5027,2.93,2017-08-17,2024-08-16,False,SUPP_2665d689,Portugal,1.87,0.5026980971314967,17.7,2556.0,0,0
PROD_4c9f648d,Le pouvoir d'innover avant-tout,Hygiène,Soins cheveux,False,0.87,1.13,26.2,16.8,0.3589,0.97,2023-02-26,2030-01-15,False,SUPP_cf4367f8,Allemagne,0.8,0.3587786259541984,9.399999999999999,2515.0,0,0
PROD_ac69c99f,Le confort de rouler de manière efficace,Électronique,Ordinateurs,True,2.74,0.95,32.93,15.24,0.2863,3.0,2025-07-03,2029-06-21,False,SUPP_UNKNOWN,Chine,3.29,,17.689999999999998,1449.0,0,0
PROD_50b599f1,,Électronique,Accessoires,True,0.84,2.69,253.4,151.41,0.4025,2.31,2020-10-07,2030-07-04,False,SUPP_UNKNOWN,Inde,6.35,0.4024861878453039,101.99000000000001,3557.0,0,1
PROD_156b5c8b,L'art de louer sans soucis,Vêtements,Sport,False,6.2,1.46,74.25,36.0,0.5151,1.2,2019-04-18,2020-10-06,False,SUPP_3a0adfb8,Inde,6.2,0.5151515151515151,38.25,537.0,0,1
PROD_8b9692ab,La possibilité de rouler plus facilement,Maison,Jardin,False,8.91,5.68,83.96,44.91,0.4651,1.5,2024-03-10,2025-09-08,False,SUPP_e3493220,États-Unis,5.19,0.4651024297284421,39.05,547.0,0,0
PROD_9f191b03,L'art de concrétiser vos projets naturellement,Maison,Cuisine,False,0.45,0.91,3.64,2.13,0.416,3.54,2015-09-07,2019-10-15,False,SUPP_9d355b98,Portugal,6.3,0.41483516483516486,1.5100000000000002,1499.0,0,1
PROD_8b5214a1,L'avantage de louer avant-tout,Hygiène,Soins corps,False,1.33,1.78,12.06,5.49,0.5447,2.5,2021-01-25,2023-03-21,False,SUPP_UNKNOWN,Allemagne,6.71,0.5447761194029851,6.57,785.0,0,1
PROD_11f2fd92,La possibilité de concrétiser vos projets sans soucis,Hygiène,Soins cheveux,True,5.73,3.33,8.25,5.67,0.3133,2.13,2025-12-14,2030-12-31,True,SUPP_c25230e4,France,3.19,0.31272727272727274,2.58,1843.0,0,0
PROD_bb867ff7,Le droit d'atteindre vos buts en toute tranquilité,Électronique,TV & Audio,True,0.51,4.95,108.18,65.23,0.397,4.55,2021-06-22,2027-09-15,False,SUPP_28cb35ce,Espagne,1.45,0.3970234793862082,42.95,2276.0,0,0
PROD_0eb2d27c,L'avantage d'évoluer de manière efficace,Alimentation,Boissons,True,0.21,0.67,29.49,24.17,0.1805,1.72,2018-06-30,2021-08-16,False,SUPP_356fb2e5,Italie,1.97,0.18040013563919963,5.319999999999997,1143.0,0,0
PROD_c573dfaa,L'avantage d'évoluer à sa source,Hygiène,Soins corps,True,1.64,0.68,24.775,15.24,0.4837,5.89,2025-03-19,2030-12-31,False,SUPP_6f23d8c9,Inde,1.31,,9.534999999999998,2113.0,0,0
PROD_51c502e4,Le confort de concrétiser vos projets naturellement,Alimentation,Produits laitiers,True,0.96,0.69,26.39,20.44,0.2255,1.61,2016-12-23,2026-11-14,False,BADID,Chine,2.0,0.22546419098143233,5.949999999999999,3613.0,0,0
PROD_d163dcc5,L'assurance de concrétiser vos projets de manière sûre,Vêtements,Homme,False,7.87,1.42,32.09,24.58,0.2339,3.19,2017-06-19,2020-04-22,False,SUPP_94bff9df,Turquie,2.99,0.2340292926145218,7.510000000000005,1038.0,0,0
PROD_16002fe3,La possibilité de changer à l'état pur,Hygiène,Soins cheveux,False,1.83,1.53,23.53,18.32,0.2214,0.21,2020-05-11,2024-07-16,False,SUPP_7315d3e2,États-Unis,6.92,0.2214194645133872,5.210000000000001,1527.0,0,1
PROD_0c88df61,L'avantage de concrétiser vos projets de manière sûre,Maison,Cuisine,True,0.48,0.54,156.17,96.12,0.3845,2.09,2024-02-10,2028-11-29,False,SUPP_14718e76,Allemagne,6.18,0.384516872638791,60.04999999999998,1754.0,0,1
PROD_9fb2b0d8,Le pouvoir d'évoluer avant-tout,Maison,Jardin,False,0.93,0.71,95.63,57.91,0.3944,3.54,2024-07-31,2025-08-12,False,SUPP_15f53fb0,Italie,1.71,0.39443689218864375,37.72,377.0,0,0
PROD_47662ee5,L'avantage de louer à la pointe,Vêtements,Homme,False,2.01,1.24,24.22,16.43,0.3218,1.37,2021-07-18,2030-12-31,False,SUPP_1d896370,Turquie,1.92,0.3216350123864575,7.789999999999999,3453.0,0,0
PROD_989751da,La possibilité d'atteindre vos buts de manière efficace,Alimentation,Produits laitiers,False,5.77,2.67,10.54,8.76,0.1691,0.66,2018-01-22,2025-02-03,False,SUPP_bea48b50,Turquie,3.45,0.1688804554079696,1.7799999999999994,2569.0,0,0
PROD_b5819181,La possibilité d'innover de manière sûre,Vêtements,Homme,False,6.81,0.48,47.61,28.34,0.4047,1.99,2017-07-17,2021-03-10,False,SUPP_18677ed4,Espagne,2.69,0.40474690191136314,19.27,1332.0,0,0
PROD_60fc6a36,Le plaisir d'innover plus rapidement,Électronique,Smartphones,False,2.59,1.12,54.43,42.25,0.2238,2.33,2021-10-03,2030-07-15,False,SUPP_3493478b,Allemagne,4.22,0.22377365423479698,12.18,3207.0,0,0
PROD_b8b334b8,Le plaisir d'avancer à l'état pur,Hygiène,Soins cheveux,False,1.76,1.24,34.49,16.22,0.5297,3.61,2024-10-23,2030-12-31,False,SUPP_0359c859,Italie,3.67,0.5297187590605973,18.270000000000003,2260.0,0,0
PROD_8dd55d94,Le pouvoir de rouler de manière sûre,Vêtements,Homme,False,1.82,0.38,7.21,2.98,0.5871,2.17,2018-09-26,2026-07-04,False,SUPP_b5e1f714,Chine,9.78,0.5866851595006936,4.23,2838.0,0,1
PROD_3eb2ee25,L'assurance de concrétiser vos projets plus facilement,Maison,Mobilier,False,0.92,2.25,124.21,84.31,0.3212,1.6,2024-01-14,2030-12-31,False,SUPP_2d509234,Inde,2.61,0.32123017470413007,39.89999999999999,2543.0,0,0
PROD_f48e036f,L'assurance de louer naturellement,Hygiène,Soins cheveux,False,1.1,2.18,12.66,9.66,0.2371,2.17,2017-05-17,2024-09-08,False,SUPP_ac026d82,Chine,3.75,0.23696682464454977,3.0,2671.0,0,0
PROD_2a08e6d4,Le pouvoir de concrétiser vos projets en toute tranquilité,Hygiène,Cosmétiques,False,1.58,9.74,15.54,9.29,0.4019,3.36,2018-08-26,2021-03-25,False,BADID,Inde,7.53,0.40218790218790224,6.25,942.0,0,1
PROD_ef307675,L'art de louer naturellement,Vêtements,Enfant,False,1.43,4.78,144.19,82.64,0.4269,0.24,2021-09-28,2024-07-11,False,SUPP_25ecb0bf,Espagne,3.88,0.42686732783133363,61.55,1017.0,0,0
PROD_914ffb6b,La possibilité de rouler en toute tranquilité,Électronique,Accessoires,False,6.34,0.96,269.25,193.54,0.2812,1.63,2025-08-24,2030-12-31,False,SUPP_26f02b37,Turquie,2.82,0.281188486536676,75.71000000000001,1955.0,0,0
PROD_1b06c381,L'avantage de louer de manière efficace,Alimentation,Produits laitiers,False,1.43,0.48,5.65,5.3,0.062,3.04,2019-01-18,2020-03-27,False,SUPP_dde7a4c4,Italie,3.07,0.061946902654867346,0.35000000000000053,434.0,0,0
PROD_4f36a3e3,Le pouvoir d'évoluer de manière efficace,Électronique,Ordinateurs,False,5.21,1.21,14.9,9.31,0.3755,1.01,2016-01-04,2022-09-21,False,SUPP_e12b746d,Espagne,5.14,0.3751677852348993,5.59,2452.0,0,0
PROD_24538a6f,Le pouvoir de changer avant-tout,Vêtements,Homme,False,1.33,15.15,16.19,8.51,0.4746,2.9,2025-08-16,2030-12-31,False,BADID,Espagne,2.34,0.47436689314391606,7.6800000000000015,1963.0,0,0
PROD_f00f0a2e,Le pouvoir de changer de manière efficace,Vêtements,Homme,False,0.43,1.06,7.73,4.79,0.3802,1.73,2024-06-07,2025-01-30,False,SUPP_6fe38a8c,États-Unis,5.0,0.38033635187580855,2.9400000000000004,237.0,0,0
PROD_73436992,L'assurance de concrétiser vos projets de manière sûre,Alimentation,Fruits & Légumes,True,2.18,0.83,5.09,4.34,0.1469,3.38,2015-10-19,2017-04-08,False,SUPP_4ad43a8b,États-Unis,0.1,0.14734774066797643,0.75,537.0,0,0
PROD_a78520d9,L'assurance de concrétiser vos projets plus rapidement,Alimentation,Surgelés,True,0.71,0.23,11.8,8.6,0.2709,2.86,2021-11-04,2022-07-20,False,SUPP_UNKNOWN,Italie,4.29,0.27118644067796616,3.200000000000001,258.0,0,0
PROD_53e903c5,Le confort de changer de manière sûre,Vêtements,Femme,False,0.98,2.42,18.16,11.03,0.3925,1.94,2023-03-21,2029-01-15,False,SUPP_97d88f4b,Portugal,3.08,0.39262114537444937,7.130000000000001,2127.0,0,0
PROD_6f478f99,Le plaisir de concrétiser vos projets en toute tranquilité,Hygiène,Soins corps,False,9.9,3.82,13.21,6.12,0.5368,5.6,2020-09-03,2027-04-21,False,SUPP_3951318c,Portugal,3.04,0.5367146101438305,7.090000000000001,2421.0,0,0
PROD_7b9e6b1e,L'assurance d'atteindre vos buts en toute tranquilité,Vêtements,Homme,False,2.42,0.31,37.8,23.35,0.3822,0.1,2020-10-19,2027-09-21,False,SUPP_c2617adc,Italie,4.98,0.3822751322751322,14.449999999999996,2528.0,0,0
PROD_efaae5cf,L'avantage d'évoluer en toute tranquilité,Hygiène,Soins cheveux,False,1.83,0.48,3.39,2.2,0.3513,0.99,2023-10-09,2029-04-13,False,SUPP_ec2830bc,Portugal,2.78,0.3510324483775811,1.19,2013.0,0,0
PROD_1d1ed819,L'avantage de rouler de manière efficace,Vêtements,Homme,False,0.29,2.26,55.32,37.63,0.3198,0.1,2016-10-05,2021-06-07,False,SUPP_6b9b3ff9,Turquie,5.03,0.31977584960231376,17.689999999999998,1706.0,0,0
PROD_78dd3768,Le droit de rouler de manière efficace,Électronique,Smartphones,True,1.42,2.91,100.53,66.06,0.3429,3.55,2021-06-03,2026-10-29,False,SUPP_c6b0ed2e,Allemagne,4.68,0.34288272157564903,34.47,1974.0,0,0
