price_id,product_id,start_date,end_date,selling_price,purchase_cost,margin
PRC_40d8f931,PROD_016e9310,2025-06-23,,16.75,11.3,0.3253731343283582
PRC_fc63e237,PROD_016e9310,2025-07-15,,112.28,69.0,0.3854649091556822
BADID,PROD_024ecc29,2019-04-12,,25.42,15.06,0.40755310778914244
PRC_4612bc53,PROD_024ecc29,2020-06-15,,9.68,5.74,0.40702479338842973
PRC_38e40e22,PROD_024ecc29,2023-02-21,2025-03-11,3.9,2.25,0.4230769230769231
PRC_fdee8b0f,PROD_03319ded,2017-01-15,2018-05-23,59.83,36.89,0.38341968911917096
PRC_7d3c041f,PROD_03319ded,2018-05-24,2019-07-03,67.24,37.64,0.44021415823914334
PRC_733cb8ff,PROD_03319ded,2019-07-04,,57.9,35.96,0.3789291882556131
PRC_41bf4687,PROD_04081fcd,2023-11-09,2025-08-07,5.53,3.93,0.28933092224231466
PRC_b863c866,PROD_04081fcd,2025-08-08,,4.73,3.5,0.2600422832980973
PRC_2e5740f0,PROD_041347a2,2016-11-02,2019-07-20,46.86,34.83,0.2567221510883483
PRC_30ad4317,PROD_041347a2,2024-12-06,2025-09-17,113.1,80.14,0.29142351900972585
PRC_d13e081a,PROD_041a392e,2017-02-22,2018-01-11,8.32,5.31,0.3617788461538462
PRC_96e4c8a9,PROD_041a392e,2020-10-16,2022-03-11,6.02,4.0,0.33554817275747506
PRC_5a25522c,PROD_041a392e,2022-03-05,2025-02-27,28.55,18.84,0.34010507880910684
PRC_f8f81e01,PROD_041a392e,2022-03-12,,6.56,4.34,0.33841463414634143
PRC_c31af855,PROD_041a392e,2024-06-11,,13.24,8.07,0.3904833836858006
PRC_4be8b7a9,PROD_041a392e,2024-07-19,,8.44,4.92,0.41706161137440756
PRC_28139eea,PROD_05506e26,2018-12-06,,39.2,29.04,0.2591836734693878
PRC_91174620,PROD_05506e26,2023-03-27,2025-11-18,5.33,3.34,0.3733583489681051
PRC_9b0656b4,PROD_05506e26,2024-04-21,,73.31,44.06,0.3989905879143364
PRC_eabde59a,PROD_056187df,2016-05-20,2018-07-22,2.58,1.45,0.43798449612403106
PRC_2b62700c,PROD_056187df,2018-07-23,2019-01-20,2.29,1.34,0.41484716157205237
PRC_78e2a0d3,PROD_056187df,2019-01-21,,2.53,1.66,0.3438735177865612
PRC_424da64c,PROD_065273d0,2016-07-03,2018-05-22,21.83,12.13,0.44434264773247817
PRC_d49e63fa,PROD_065273d0,2018-07-08,2020-09-16,217.92,150.13,0.3110774596182085
PRC_549db675,PROD_065273d0,2020-09-17,2023-06-02,174.87,97.71,0.44124206553439704
PRC_c6e7ba9d,PROD_065273d0,2023-06-03,,205.21,138.64,0.3243993957409484
PRC_81c9e601,PROD_0655782a,2021-07-06,2022-11-20,22.35,14.83,0.3364653243847875
PRC_05a107a7,PROD_0655782a,2022-01-27,,34.24,25.44,0.25700934579439255
PRC_81cd999a,PROD_0655782a,2024-11-16,2000-01-01,103.0,62.3,0.3951456310679612
PRC_854678f7,PROD_07089b4c,2021-08-30,2024-04-16,29.98,22.24,0.25817211474316215
PRC_1adad8ad,PROD_07089b4c,2025-11-25,,6.79,3.86,0.43151693667157587
PRC_647893ba,PROD_082d9003,2020-04-13,,9.73,5.58,0.42651593011305244
PRC_a31e9908,PROD_082d9003,2024-05-14,2024-12-05,105.93,72.28,0.31766260738223356
PRC_7fb0f6a7,PROD_082d9003,2024-12-06,2025-09-17,113.1,80.14,0.29142351900972585
PRC_0b6e33eb,PROD_082d9003,2025-09-18,,97.04,70.5,0.27349546578730427
PRC_f8e02707,PROD_0916a381,2021-06-19,2023-03-06,1.76,1.11,0.36931818181818177
PRC_5a3b1a10,PROD_0916a381,2023-03-07,,1.63,1.15,0.294478527607362
PRC_5676e891,PROD_094595a1,2021-11-25,2000-01-01,6.61,4.75,0.28139183055975797
PRC_7104dd2f,PROD_0984fc7c,2015-07-22,2018-04-12,18.77,12.92,0.31166755460841766
PRC_1da98957,PROD_0984fc7c,2018-04-13,2019-10-13,20.34,14.42,0.2910521140609636
PRC_c406aad6,PROD_0984fc7c,2019-10-14,,22.87,15.67,0.3148229121119371
PRC_ddaa2277,PROD_0984fc7c,2020-09-03,2022-12-13,13.21,8.03,0.3921271763815292
PRC_d298b7a1,PROD_09a63aeb,2016-02-15,2016-12-29,53.19,36.62,0.3115247226922354
PRC_e5724336,PROD_09a63aeb,2016-12-30,,56.93,42.65,0.2508343579834885
PRC_19140882,PROD_09a63aeb,2018-06-20,2020-05-18,66.41,45.72,0.3115494654419515
PRC_fda23633,PROD_0a288ca2,2018-11-26,2021-03-27,79.89,44.62,0.44148203780197776
PRC_6c7a41f1,PROD_0a288ca2,2021-03-28,2022-08-07,71.93,47.01,0.34644793549284036
PRC_3b17caa6,PROD_0a288ca2,2022-08-08,,67.05,43.98,0.3440715883668904
PRC_85e448cc,PROD_0a288ca2,2024-02-23,,19.27,12.43,0.3549558899844318
PRC_8c4ead71,PROD_0a871c1c,2019-06-28,2022-01-10,141.37,90.82,0.35757232793379085
PRC_257a5486,PROD_0a871c1c,2022-01-11,2024-06-27,129.43,90.58,0.30016224986479184
PRC_788e91c4,PROD_0a871c1c,2024-06-28,,111.39,81.15,0.2714785887422569
PRC_1b05ff8a,PROD_0b2c2374,2017-02-02,2018-05-03,17.11,11.74,0.3138515488018702
PRC_1743fe3d,PROD_0b2c2374,2017-12-08,2020-11-05,169.08,122.39,0.2761414714927845
PRC_094b374b,PROD_0b2c2374,2019-02-25,2021-09-07,8.0,5.05,0.36875
BADID,PROD_0b2c2374,2023-06-18,,20.56,15.23,0.2592412451361867
PRC_2269ee1d,PROD_0c88df61,2019-09-26,2022-03-05,8.2,4.92,0.39999999999999997
PRC_ad8f36b2,PROD_0c88df61,2019-10-13,2021-11-26,12.72,8.99,0.29323899371069184
PRC_ee8e88a8,PROD_0c88df61,2024-02-10,2025-08-23,156.17,105.26,0.3259909073445603
PRC_9a124c85,PROD_0c88df61,2025-08-24,,174.35,121.61,0.30249498135933467
PRC_083953fb,PROD_0dd0647d,2017-07-27,2018-12-10,6.96,4.08,0.41379310344827586
PRC_7d561846,PROD_0dd0647d,2020-05-04,2022-12-18,1.6,1.03,0.35625
PRC_7f823f5b,PROD_0dd0647d,2024-11-25,,5.56,3.97,0.2859712230215826
PRC_e98941fe,PROD_0e09620d,2022-08-04,2025-04-28,32.6,21.35,0.3450920245398773
PRC_ded081e8,PROD_0e09620d,2024-07-05,,14.48,8.88,0.38674033149171266
PRC_6be3d358,PROD_0eb2d27c,2019-10-04,2022-09-23,26.51,15.85,0.40211241041116563
PRC_ed0bf0ec,PROD_0eb2d27c,2022-09-24,,22.1,16.1,0.27149321266968324
PRC_85a340ad,PROD_0f17d690,2015-09-19,2016-07-08,19.91,11.5,0.42240080361627325
BADID,PROD_0f17d690,2015-12-08,2016-08-16,22.8,14.76,0.35263157894736846
PRC_d091235a,PROD_0f17d690,2016-08-17,2000-01-01,26.17,18.87,0.2789453572793275
PRC_3f71bd39,PROD_0f17d690,2018-08-29,,30.52,19.37,0.3653342070773263
PRC_e0b24e2e,PROD_0f4ff793,2015-08-31,2016-10-19,45.09,26.42,0.4140607673541805
PRC_a1e26dfe,PROD_0f4ff793,2016-01-06,2016-09-19,86.38,48.77,0.4354017133595739
PRC_38a7460a,PROD_0f4ff793,2016-08-18,2018-11-13,4.95,3.17,0.35959595959595964
PRC_9e0adebf,PROD_0f4ff793,2018-11-14,,3.96,2.97,0.24999999999999994
PRC_0cff9699,PROD_10d30839,2015-02-25,2016-12-23,178.69,109.06,0.38966925961161786
BADID,PROD_10d30839,2016-12-24,2019-10-08,210.82,147.96,0.29816905416943357
PRC_b9a8b14c,PROD_10d30839,2019-10-09,,247.63,156.09,0.3696644186891733
PRC_d2985606,PROD_10d30839,2020-01-27,,40.03,26.24,0.34449163127654264
PRC_e44423e1,PROD_10d30839,2021-01-28,2021-10-02,20.18,11.39,0.43557978196233893
PRC_3bee2faf,PROD_1177af14,2018-04-13,2020-05-21,5.23,3.12,0.40344168260038243
PRC_cd54d1d2,PROD_1177af14,2019-08-21,2022-06-05,5.19,3.71,0.2851637764932563
PRC_de99a394,PROD_11dbd55f,2015-01-21,2016-01-18,128.64,90.81,0.2940764925373133
PRC_b15cc8ae,PROD_11dbd55f,2018-03-10,,92.27,58.96,0.36100574401213825
PRC_141087b5,PROD_11dbd55f,2020-03-16,2022-08-28,6.85,4.62,0.3255474452554744
PRC_b7992303,PROD_11dbd55f,2022-01-09,,0.01,0.01,0.0
PRC_3e87b8e6,PROD_11f2fd92,2022-01-09,,34.92,20.42,0.41523482245131726
PRC_1f9960da,PROD_128295a3,2018-12-06,,39.2,29.04,0.2591836734693878
PRC_87c7130b,PROD_128295a3,2020-10-14,2022-06-17,13.88,10.15,0.2687319884726225
PRC_81de6d72,PROD_128295a3,2022-06-18,2023-02-27,15.1,9.87,0.3463576158940398
PRC_c05f5a6c,PROD_128295a3,2023-02-28,,16.93,10.62,0.3727111636148849
PRC_b4daa367,PROD_1419a1eb,2019-01-14,2019-09-29,359.67,247.39,0.3121750493507939
PRC_24c5fb62,PROD_1419a1eb,2019-01-24,2021-05-11,1.28,0.95,0.25781250000000006
PRC_59fd762d,PROD_1419a1eb,2019-09-30,,310.56,222.61,0.2831980937660999
PRC_51c63a69,PROD_1419a1eb,2025-05-25,,7.39,4.32,0.4154262516914749
PRC_e1d30225,PROD_146d8e82,2022-07-27,2024-11-26,12.76,7.62,0.40282131661442006
PRC_759f91af,PROD_146d8e82,2024-11-27,,10.8,7.06,0.3462962962962964
PRC_f7d6e316,PROD_14f728f0,2016-01-06,2016-09-19,86.38,48.77,0.4354017133595739
PRC_4cd5412e,PROD_14f728f0,2016-09-20,,98.84,65.7,0.33528935653581543
PRC_b7917eb7,PROD_14f728f0,2022-09-27,2024-07-08,16.0,9.64,0.39749999999999996
PRC_8a6517ef,PROD_14f728f0,2023-07-15,2024-04-11,48.76,34.23,0.2979901558654635
PRC_e331957a,PROD_1541e780,2017-07-17,2020-05-04,47.61,28.93,0.39235454736399916
PRC_19a646a1,PROD_1541e780,2018-04-21,2019-09-26,22.41,13.06,0.4172244533690317
PRC_c6441c41,PROD_1541e780,2019-09-27,2021-02-21,18.76,11.56,0.3837953091684435
PRC_df830354,PROD_1541e780,2024-07-05,,14.48,8.88,0.38674033149171266
PRC_797cf131,PROD_156b5c8b,2019-04-18,2021-07-22,74.25,54.58,0.26491582491582494
PRC_e49c9358,PROD_156b5c8b,2021-07-23,2024-02-08,85.43,51.87,0.3928362401966523
PRC_17742aa8,PROD_156b5c8b,2021-10-08,2023-10-31,61.65,40.76,0.3388483373884834
PRC_f37b7ba1,PROD_156b5c8b,2024-02-09,,80.29,44.64,0.44401544401544407
PRC_3baa2498,PROD_16002fe3,2015-02-25,2016-12-23,178.69,109.06,0.38966925961161786
PRC_32d514d1,PROD_16002fe3,2020-05-11,2023-01-03,23.53,16.38,0.3038674033149172
PRC_228f4978,PROD_16002fe3,2025-03-26,,31.23,23.23,0.25616394492475186
PRC_f192f470,PROD_16c6ab81,2020-02-02,,157.09,108.61,0.30861289706537653
BADID,PROD_16c6ab81,2022-07-29,2024-11-10,408.33,264.09,0.353243699948571
PRC_0212fd7c,PROD_16c6ab81,2024-11-11,,477.52,314.59,0.34120036857094993
PRC_5ab1513f,PROD_16d5208c,2021-12-26,2024-10-15,28.43,20.97,0.2623988744284207
PRC_cefa0754,PROD_16d5208c,2024-10-16,,31.08,17.84,0.42599742599742596
PRC_28b38dba,PROD_16d7b24f,2023-05-12,2024-09-06,98.76,63.14,0.36067233697853385
PRC_bd18c4b0,PROD_16d7b24f,2024-09-07,,87.17,49.24,0.4351267637948836
PRC_c312109d,PROD_16f98d61,2020-09-27,,222.69,139.72,0.37258071758947414
PRC_81f83399,PROD_16f98d61,2024-10-02,,15.55,10.16,0.34662379421221867
PRC_47490148,PROD_16f98d61,2025-03-16,,6.29,3.97,0.368839427662957
PRC_ec015b79,PROD_1712e1b1,2024-04-08,2025-08-13,18.81,11.54,0.3864965443912812
PRC_8dec30ab,PROD_1734cf6c,2015-02-01,2016-07-07,93.34,63.58,0.3188343689736448
PRC_bb906d52,PROD_1734cf6c,2015-02-25,2016-12-23,178.69,109.06,0.38966925961161786
PRC_e458a98b,PROD_1734cf6c,2018-06-24,2019-11-12,9.74,5.81,0.4034907597535935
PRC_f25b4ed9,PROD_1734cf6c,2018-07-04,2021-05-26,61.7,36.69,0.40534846029173427
PRC_3e0c23f6,PROD_1734cf6c,2024-01-29,,47.36,34.64,0.2685810810810811
PRC_2ec07082,PROD_175b95f4,2015-01-21,2016-01-18,128.64,90.81,0.2940764925373133
PRC_f634f036,PROD_175b95f4,2017-03-21,2018-05-18,124.4,77.52,0.3768488745980708
PRC_3d1194d8,PROD_175b95f4,2018-05-19,2019-07-14,134.17,97.71,0.27174480137139445
PRC_a30e9c52,PROD_175b95f4,2021-02-10,2021-11-15,13.04,9.4,0.27914110429447847
PRC_5f638aab,PROD_175b95f4,2025-10-29,,14.26,10.01,0.2980364656381487
PRC_3bcfea83,PROD_1999625e,2017-08-07,2019-05-04,5.63,3.26,0.42095914742451157
PRC_3cb62509,PROD_1999625e,2020-11-23,2021-10-12,69.24,43.11,0.37738301559792026
PRC_08ae5219,PROD_1999625e,2022-03-07,2022-09-29,108.25,75.88,0.2990300230946883
PRC_82fc02a6,PROD_1999625e,2022-09-30,2024-07-20,119.43,67.1,0.4381646152557985
PRC_a06ae574,PROD_1999625e,2024-07-21,,135.22,90.21,0.33286496080461475
PRC_4e087ac2,PROD_1a6ea7ec,2020-09-27,2023-02-13,63.73,35.2,0.44766985721010505
PRC_839b3da0,PROD_1a6ea7ec,2022-07-29,,19.95,12.31,0.3829573934837092
PRC_0578ca94,PROD_1a6ea7ec,2023-02-14,2023-12-07,75.97,50.85,0.33065683822561537
PRC_99d0d879,PROD_1a6ea7ec,2025-12-31,,16.47,11.38,0.3090467516697024
PRC_f73fd46f,PROD_1ab71105,2016-02-01,2018-07-10,15.37,10.1,0.3428757319453481
BADID,PROD_1ab71105,2019-10-07,2022-06-22,78.22,54.31,0.3056762976220915
PRC_693c2873,PROD_1ab71105,2020-07-27,,14.74,9.41,0.3616010854816825
PRC_7ca2195c,PROD_1ab71105,2024-01-13,2024-08-22,27.46,19.61,0.2858703568827386
PRC_948ce5e6,PROD_1b06c381,2018-04-13,2020-05-21,5.23,3.12,0.40344168260038243
BADID,PROD_1b06c381,2021-10-27,2000-01-01,6.71,4.9,0.26974664679582705
PRC_cd58e219,PROD_1b06c381,2022-12-01,,34.39,25.46,0.2596685082872928
PRC_17a24ade,PROD_1b06c381,2024-07-30,,7.25,5.0,0.3103448275862069
PRC_87a3f5ac,PROD_1b06c381,2024-10-24,,62.64,42.82,0.3164112388250319
PRC_976df823,PROD_1c38abc4,2016-08-17,2018-08-28,26.17,18.87,0.2789453572793275
PRC_096b30f5,PROD_1c38abc4,2018-01-22,2020-07-04,10.54,6.35,0.39753320683111953
PRC_2e871ec4,PROD_1c38abc4,2023-02-18,2023-11-02,11.06,6.69,0.39511754068716093
PRC_01d435b8,PROD_1c38abc4,2024-05-26,,13.28,9.3,0.2996987951807228
PRC_5726e6bd,PROD_1cba2a8c,2020-03-16,2022-08-28,6.85,4.62,0.3255474452554744
PRC_75312b25,PROD_1cba2a8c,2022-08-29,,6.18,4.62,0.25242718446601936
PRC_dba8ad31,PROD_1cda7f23,2016-06-01,,24.95,14.26,0.42845691382765533
PRC_f3f13d87,PROD_1d1ed819,2016-10-05,2017-06-20,55.32,34.2,0.3817787418655097
PRC_8bd8343f,PROD_1d1ed819,2020-02-22,,52.53,32.17,0.3875880449267085
PRC_4154e6f1,PROD_1d1ed819,2022-07-04,2023-09-08,15.31,10.48,0.3154800783801437
PRC_b622b2fd,PROD_1d3d1072,2019-05-09,2022-01-08,0.01,0.01,0.0
PRC_ee5b320e,PROD_1d3d1072,2022-01-09,,0.01,0.01,0.0
PRC_ec615184,PROD_1d3d1072,2024-07-30,,7.25,5.0,0.3103448275862069
PRC_0797f4e7,PROD_1d98ea48,2020-01-29,,0.01,0.01,0.0
PRC_b82bbb9e,PROD_1d98ea48,2020-02-08,2021-11-08,194.16,123.78,0.36248454882571074
PRC_6b16b57d,PROD_1d98ea48,2020-07-31,2022-12-15,46.78,26.77,0.42774690038477986
PRC_e5e457e6,PROD_1d98ea48,2025-10-15,,4.33,2.49,0.4249422632794457
PRC_6a0c36ee,PROD_1dd5a9da,2018-06-20,2020-05-18,66.41,45.72,0.3115494654419515
PRC_de97332e,PROD_1dd5a9da,2019-02-25,2021-09-07,8.0,5.05,0.36875
PRC_90ee0668,PROD_1dd5a9da,2021-09-12,,62.65,41.89,0.331364724660814
PRC_ff52906d,PROD_1dd5a9da,2021-11-09,,223.0,151.66,0.31991031390134533
PRC_3817dd3d,PROD_1dd5a9da,2023-01-15,2025-12-19,39.32,26.78,0.31892166836215663
PRC_59af1751,PROD_1df3e57d,2015-06-16,2018-05-17,52.3,30.37,0.4193116634799235
PRC_972c6fb5,PROD_1df3e57d,2018-05-18,2018-12-05,45.36,28.57,0.37014991181657847
PRC_69923129,PROD_1df3e57d,2018-07-09,,48.21,30.68,0.36361750674133997
PRC_761a627d,PROD_1df3e57d,2018-12-06,,39.2,29.04,0.2591836734693878
PRC_765be2a9,PROD_1df3e57d,2022-10-15,,8.62,5.31,0.3839907192575406
PRC_213cba64,PROD_1e909661,2023-03-03,2024-09-13,37.31,22.16,0.4060573572768695
PRC_b74e3006,PROD_1e909661,2024-04-17,,34.22,21.97,0.35797779076563413
PRC_45fca590,PROD_1e909661,2024-09-14,,34.66,19.62,0.43392960184650886
BADID,PROD_1f10a2b0,2017-07-12,,12.94,8.51,0.34234930448222567
PRC_01054cd6,PROD_1f10a2b0,2018-06-01,2020-01-18,3.76,2.24,0.4042553191489361
PRC_024a52c6,PROD_1f10a2b0,2021-02-10,2021-11-15,13.04,9.4,0.27914110429447847
PRC_10f7e4f4,PROD_1f10a2b0,2021-11-16,2024-01-06,10.99,7.7,0.29936305732484075
PRC_b640a1ea,PROD_1f10a2b0,2024-01-07,,10.29,7.02,0.3177842565597668
PRC_dbdea609,PROD_1f10a2b0,2025-11-07,,28.33,18.03,0.36357218496293675
PRC_54360671,PROD_1f713cbf,2018-12-21,2019-12-28,41.82,26.22,0.37302725968436157
PRC_2f6c926b,PROD_1f713cbf,2019-12-29,2021-09-21,34.07,24.04,0.294393894922219
PRC_bf626dbf,PROD_1f713cbf,2020-05-08,,3.86,2.69,0.3031088082901554
PRC_a06f6494,PROD_1f713cbf,2021-09-22,,32.01,19.87,0.3792564823492658
PRC_10f5ecfa,PROD_1f885ef3,2018-03-04,2018-10-10,4.34,2.61,0.3986175115207373
BADID,PROD_1f885ef3,2019-11-16,,32.75,18.32,0.44061068702290074
PRC_cb643601,PROD_1f885ef3,2021-07-06,2022-11-20,22.35,14.83,0.3364653243847875
PRC_fe3e68da,PROD_21b01b32,2018-06-01,2020-01-18,3.76,2.24,0.4042553191489361
PRC_fb95c136,PROD_21b01b32,2021-07-25,2024-02-22,5.35,3.81,0.2878504672897196
PRC_0e65c40f,PROD_21b01b32,2022-10-31,2024-10-25,33.75,22.55,0.33185185185185184
PRC_109ec9a8,PROD_21b01b32,2024-02-23,,5.82,3.3,0.43298969072164956
PRC_510e0efa,PROD_21cb6e2f,2015-08-31,2016-10-19,45.09,26.42,0.4140607673541805
PRC_b1b09958,PROD_21cb6e2f,2017-09-11,2019-03-16,5.43,3.72,0.3149171270718231
PRC_f047c0eb,PROD_21cb6e2f,2018-09-25,2019-04-11,23.48,16.34,0.3040885860306644
PRC_086e2ccd,PROD_21cb6e2f,2024-02-14,,123.6,76.18,0.3836569579288025
PRC_90e43862,PROD_232fa0ff,2021-07-01,2024-02-24,17.6,10.65,0.39488636363636365
PRC_650b0e80,PROD_232fa0ff,2022-03-05,2025-02-27,28.55,18.84,0.34010507880910684
PRC_e10100ee,PROD_232fa0ff,2024-02-25,,20.72,14.11,0.319015444015444
PRC_3feeef25,PROD_2336a253,2016-02-25,2018-06-25,3.92,2.3,0.413265306122449
PRC_9f4df363,PROD_2336a253,2019-12-22,2022-01-09,64.58,39.76,0.3843295137813565
PRC_fa442c77,PROD_2336a253,2025-12-12,,30.08,17.53,0.417220744680851
PRC_0580a03a,PROD_236e1217,2019-06-21,2020-09-27,20.82,14.36,0.3102785782901057
PRC_474b9790,PROD_236e1217,2020-09-28,2022-03-04,22.66,15.88,0.29920564872021177
PRC_afcdd885,PROD_236e1217,2024-07-25,,5.0,3.38,0.324
PRC_0553acb0,PROD_23b91997,2016-07-27,2018-05-26,17.53,12.41,0.2920707358813463
PRC_d86c4054,PROD_23b91997,2018-05-27,2019-06-13,18.43,13.43,0.27129679869777534
PRC_7c7a02aa,PROD_23b91997,2019-06-14,,21.85,15.63,0.28466819221967965
PRC_e0f7ca72,PROD_23b91997,2022-11-03,2024-09-21,9.62,6.96,0.27650727650727647
PRC_66c79ad9,PROD_23b91997,2024-04-30,,36.04,24.11,0.33102108768035515
PRC_28c69421,PROD_24538a6f,2022-02-24,,13.52,7.86,0.41863905325443784
PRC_a88d9ca0,PROD_24538a6f,2025-08-16,,16.19,11.29,0.30265596046942567
PRC_c5ff453e,PROD_25aa43c3,2017-06-04,2018-06-30,20.8,11.52,0.4461538461538462
PRC_f4830fb3,PROD_25aa43c3,2018-07-01,,22.41,13.8,0.3842034805890227
PRC_19d8c071,PROD_260cedc4,2016-01-19,2018-03-09,113.31,82.06,0.2757920748389374
PRC_5ef8109e,PROD_260cedc4,2019-05-18,2020-07-07,33.99,22.54,0.33686378346572526
PRC_a454d10e,PROD_260cedc4,2021-01-14,,135.03,95.52,0.29260164407909356
PRC_5c32f858,PROD_26c545db,2015-11-14,2016-10-01,10.45,7.35,0.2966507177033493
PRC_72a7a0bf,PROD_26c545db,2016-06-21,2017-09-16,179.69,99.21,0.44788246424397576
PRC_b26162c7,PROD_26c545db,2016-10-02,2018-06-29,11.38,6.54,0.4253075571177505
PRC_17b03e2b,PROD_26c545db,2018-06-30,,12.08,8.45,0.3004966887417219
PRC_ca7e9d3a,PROD_26c545db,2018-12-11,,7.47,4.53,0.393574297188755
